locality,state,location,lon,lat
Wilmington,DE,"Wilmington, DE",-75.5397878,39.7390721
Chattahoochee,FL,"Chattahoochee, FL",-84.8429759,30.7051916
Grand Key,FL,"Grand Key, FL",-82.5075478,27.9042476
Jacksonville,FL,"Jacksonville, FL",-81.65565099999999,30.3321838
Key West,FL,"Key West, FL",-81.7799871,24.5550593
Pensacola,FL,"Pensacola, FL",-87.2169149,30.42130899999999
St. Augustine,FL,"St. Augustine, FL",-81.31243409999999,29.9012437
Tallahasee,FL,"Tallahasee, FL",-84.28073289999999,30.4382559
Worthington,FL,"Worthington, FL",-81.7304267,26.3277979
Athens,GA,"Athens, GA",-83.357567,33.9519347
Atlanta,GA,"Atlanta, GA",-84.3879824,33.7489954
Augusta,GA,"Augusta, GA",-82.0105148,33.4734978
Bowden,GA,"Bowden, GA",-85.2532818,33.5378885
Bowdon,GA,"Bowdon, GA",-85.2532818,33.5378885
Cassville,GA,"Cassville, GA",-84.85216199999999,34.2448172
Cave Spring,GA,"Cave Spring, GA",-85.33634339999999,34.1075975
Cedartown,GA,"Cedartown, GA",-85.25658229999999,34.0112715
Columbus,GA,"Columbus, GA",-84.9877094,32.4609764
Dahlonega,GA,"Dahlonega, GA",-83.9843953,34.5261465
Fort Pulaski,GA,"Fort Pulaski, GA",-80.89048679999999,32.02706
Greene County,GA,"Greene County, GA",-83.1649001,33.5186591
Greenville,GA,"Greenville, GA",-84.7129848,33.0287373
Griffin,GA,"Griffin, GA",-84.2640904,33.2467807
Holton,GA,"Holton, GA",-82.47721720000001,31.5456221
La Grange,GA,"La Grange, GA",-85.0322444,33.0362218
Macon,GA,"Macon, GA",-83.6324022,32.8406946
Medway,GA,"Medway, GA",-81.177323,31.7166093
Milledgeville,GA,"Milledgeville, GA",-83.2320991,33.0801429
Oxford,GA,"Oxford, GA",-83.8674051,33.6190031
Pope's Ferry,GA,"Pope's Ferry, GA",-83.7319337,32.9943853
Savanah,GA,"Savanah, GA",-81.09983419999999,32.0835407
Savannah,GA,"Savannah, GA",-81.09983419999999,32.0835407
West Point,GA,"West Point, GA",-85.18327459999999,32.8779056
Honolulu,HI,"Honolulu, HI",-157.8583333,21.3069444
Lahaina,HI,"Lahaina, HI",-156.6825,20.8783333
Oahu,HI,"Oahu, HI",-158.0000565,21.4389123
Albia,IA,"Albia, IA",-92.811307,41.0300078
Almoral,IA,"Almoral, IA",-91.2898613,42.5355463
Ames,IA,"Ames, IA",-93.63191309999999,42.0307812
Amitx,IA,"Amitx, IA",-95.0806918,40.6246316
Anamosa,IA,"Anamosa, IA",-91.28515940000001,42.1083371
Bellevue,IA,"Bellevue, IA",-90.4257531,42.25889360000001
Burlington,IA,"Burlington, IA",-91.1128901,40.8076529
Cedar Falls,IA,"Cedar Falls, IA",-92.4453161,42.5348993
Cedar Rapids,IA,"Cedar Rapids, IA",-91.6656232,41.9778795
Chariton,IA,"Chariton, IA",-93.31409850000001,41.0199996
Clarinda,IA,"Clarinda, IA",-95.038313,40.7419352
Clarksville,IA,"Clarksville, IA",-92.6676907,42.7847
Clinton,IA,"Clinton, IA",-90.1887379,41.8444735
Davenport,IA,"Davenport, IA",-90.5776367,41.5236437
Decorah,IA,"Decorah, IA",-91.7857092,43.30330559999999
Decorsh,IA,"Decorsh, IA",-91.7857092,43.30330559999999
Denver,IA,"Denver, IA",-92.3374045,42.6713718
Des Moines,IA,"Des Moines, IA",-93.6091064,41.6005448
Dubuque,IA,"Dubuque, IA",-90.66457179999999,42.5005583
Durant,IA,"Durant, IA",-90.9107037,41.5997498
Eldora,IA,"Eldora, IA",-93.10575759999999,42.3680382
Fairfield,IA,"Fairfield, IA",-91.9636914,41.00761139999999
Fayette,IA,"Fayette, IA",-91.8021071,42.84192549999999
Ft. Dodge,IA,"Ft. Dodge, IA",-94.16801579999999,42.4974694
Ft. Madison,IA,"Ft. Madison, IA",-91.31453499999999,40.6297634
Grinnell,IA,"Grinnell, IA",-92.7232456,41.74340919999999
Hamlin,IA,"Hamlin, IA",-94.9078352,41.6648173
Humboldt,IA,"Humboldt, IA",-94.2152402,42.7208047
Ida,IA,"Ida, IA",-95.4777811,42.3418685
Independence,IA,"Independence, IA",-91.8893386,42.4685978
Indianola,IA,"Indianola, IA",-93.5574376,41.3580484
Iowa City,IA,"Iowa City, IA",-91.5301683,41.6611277
Keokuk,IA,"Keokuk, IA",-91.3963966,40.4044731
Keosanqua,IA,"Keosanqua, IA",-91.96239489999999,40.7303057
Keosaugua,IA,"Keosaugua, IA",-91.96239489999999,40.7303057
Little Rock,IA,"Little Rock, IA",-95.88335239999999,43.44413530000001
Logan,IA,"Logan, IA",-95.7891614,41.6430472
Lott's Creek,IA,"Lott's Creek, IA",-94.36635849999999,43.1566312
Low Moor,IA,"Low Moor, IA",-90.35485349999999,41.8016967
Lyons,IA,"Lyons, IA",-96.15269850000001,43.3954333
Manchester,IA,"Manchester, IA",-91.4579698,42.4857853
Maquoketa,IA,"Maquoketa, IA",-90.6656914,42.0689088
Marchalltown,IA,"Marchalltown, IA",-92.90803749999999,42.0494674
Marshalltown,IA,"Marshalltown, IA",-92.90803749999999,42.0494674
Mason City,IA,"Mason City, IA",-93.20103669999999,43.1535728
McGregor,IA,"McGregor, IA",-91.1812468,43.0246813
